Designator,Mid X,Mid Y,Rotation,Layer
BZ1,160.5,-80.635,0.0,top
C1,134.835,-82.615,90.0,bottom
C10,141.08,-82.17,90.0,bottom
C11,138.655,-82.6,180.0,bottom
C12,135.935,-86.18,270.0,bottom
C13,131.4,-93.0,270.0,top
C14,142.935,-86.7,270.0,bottom
C15,136.38,-89.52,0.0,bottom
C16,143.62,-81.39,0.0,bottom
C17,141.735,-90.08,270.0,bottom
C2,146.235,-85.62,90.0,bottom
C3,149.4,-82.4,180.0,bottom
C4,135.935,-84.2,270.0,bottom
C5,142.835,-84.52,90.0,bottom
C6,135.935,-82.28,270.0,bottom
C7,140.135,-82.08,90.0,bottom
C8,139.735,-90.02,270.0,bottom
C9,132.4,-90.2,0.0,bottom
D1,164.475,-94.305,90.0,top
J1,127.005,-94.5,270.0,top
J2,160.3,-89.8,0.0,top
L1,133.535,-85.3,90.0,bottom
R1,155.045,-91.6,180.0,bottom
R2,136.335,-80.9,0.0,bottom
R3,157.525,-84.7,180.0,bottom
R4,147.4,-82.4,180.0,bottom
R5,132.235,-82.39,90.0,bottom
R6,157.5,-92.49,90.0,bottom
R7,131.325,-84.4,0.0,bottom
R8,133.825,-80.6,0.0,bottom
SW1,156.96,-88.15,270.0,bottom
SW2,153.11,-88.125,90.0,bottom
SW3,130.01460485498234,-82.15627699554733,158.0,top
U1,140.535,-84.9625,90.0,top
U3,146.0,-86.755,0.0,top
U4,132.4625,-92.95,180.0,bottom
Y1,148.8,-85.2,90.0,bottom
Y2,148.835,-89.3,180.0,top
